model,ratio,amount,prompt,upscale 4k,status
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,bluh,no
Veo3-Fast,16:9,0.00,cringe,no
Veo3-Fast,16:9,0.00,siuuu,yes
Veo3-Fast,16:9,1.00,"My father passed away quite recently, and a week or so after he was gone I wanted to make a video of him, as a way of saying goodbye. I didn't know what song to choose, I could've picked a song that he liked, but Seasons just came to my mind, so I used this music for the video. I know the meaning of the lyrics are more on the romantic side, but I don't know, something about it just reminds me of my dad. Now, when I'm randomly listening to my playlist, and this music starts to play, I feel hugged by my dad, and always have to hold in the tears. Thank you so much for this song, Wave to Earth ❤",no
Veo3-Fast,16:9,0.00,alualiu,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,0.00,a,yes
Veo3-Fast,16:9,1.00,ádsdnkn,no
Veo3-Fast,16:9,1.00,ádasdsadq,no
Veo3-Fast,16:9,1.00,cringe,no
Veo3-Fast,16:9,1,Abycsfdafasfa,no,Working
Veo3-Fast,16:9,1,cringe as fuck,no,Done
Veo3-Fast,16:9,1,i dont give a shit,no,Working
Veo3-Fast,16:9,1.00,abc,no,
Veo3-Fast,16:9,1.00,cringe,no,
Veo3-Fast,16:9,1.00,cringe,no,
Veo3-Fast,16:9,0.00,Cringe,no,
Veo3-Fast,16:9,1,cringe,no,
Veo3-Fast,16:9,1,siuuu,no,Working
Veo3-Fast,16:9,1,cringe,✖,Working
Veo3-Fast,16:9,0,siiuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,✔,Working
Veo3-Fast,16:9,1,âcsd,✔,Working
Veo3-Fast,16:9,1,sdadasdadasd,✖,Working
Veo3-Fast,16:9,1,abc,✖,Working
Veo3-Fast,16:9,1,fsaflasfs,✔,Working
